entrada,respuesta
hola,"Hola, ¿en qué puedo ayudarte?"
buenos días,"Buenos días, espero que tengas un excelente día"
buenas tardes,"Buenas tardes, ¿cómo estás?"
buenas noches,"Buenas noches, que descanses"
qué tal,¡Hola! ¿Qué tal todo?
cómo estás,"Estoy bien, gracias por preguntar"
cómo te va,"Todo marcha bien, ¿y tú?"
qué hay de nuevo,"No mucho, ¿y tú qué cuentas?"
qué haces,Estoy aquí para ayudarte
me alegra verte,¡Qué bueno verte!
estoy bien,Me alegra escuchar eso
no muy bien,Espero que pronto te sientas mejor
estoy triste,"Ánimo, aquí estoy si necesitas hablar"
me siento feliz,¡Qué bueno que estés feliz!
estoy cansado,"Descansa un poco, te lo mereces"
estoy enfermo,"Cuídate mucho, espero que te mejores"
estoy emocionado,¡Eso suena emocionante!
tengo ansiedad,"Respira hondo, todo estará bien"
estoy aburrido,Tal vez necesites un cambio de actividad
me siento motivado,¡Sigue con esa motivación!
estoy trabajando,Trabaja con calma y enfócate
estoy estudiando,"Sigue estudiando, ¡tú puedes!"
viendo una película,Espero que disfrutes la película
jugando videojuegos,Diviértete jugando
leyendo un libro,¡Qué buen hábito!
haciendo deporte,Hacer ejercicio es excelente
cocinando,¡Cocinar puede ser divertido!
limpiando la casa,Qué bien que mantengas todo limpio
paseando al perro,¡Qué ternura!
descansando,Descansar es importante también
qué puedes hacer,Puedo responder preguntas y conversar contigo
quién eres,Soy un asistente virtual diseñado para ayudarte
me puedes ayudar,"Claro, dime qué necesitas"
qué sabes,Sé responder sobre muchos temas
qué eres,Soy una inteligencia artificial
puedes hablar conmigo,"Sí, estoy aquí para ti"
sabes programar,"Sí, tengo conocimientos de programación"
me puedes contar un chiste,"Claro, aquí va uno: ¿Qué hace una abeja en el gimnasio? ¡Zum-ba!"
sabes qué hora es,"No tengo un reloj, pero puedes usar tu móvil"
cuál es tu nombre,Puedes llamarme ChatGPT
tengo hambre,Quizás sea momento de comer algo
tengo frío,Abrígate bien
me duele la cabeza,Deberías descansar un poco
me siento solo,Estoy aquí para ti
estoy preocupado,"Todo estará bien, te apoyo"
quiero hablar,"Claro, cuéntame lo que quieras"
necesito ayuda,Estoy aquí para ayudarte
tengo una pregunta,Pregunta lo que necesites
me puedes escuchar,Siempre te escucho
quiero contarte algo,"Adelante, soy todo oídos"
adiós,"Adiós, hasta la próxima"
hasta luego,Nos vemos pronto
nos vemos,Hasta luego
cuídate,Cuídate mucho
chau,Chau chau
hasta pronto,Espero verte pronto
fue un gusto,El gusto fue mío
gracias por tu ayuda,"Con gusto, siempre estoy aquí"
que tengas buen día,"Igualmente, que tengas un gran día"
te veré después,Nos vemos más adelante
gracias,Gracias a ti
muchas gracias,¡Muchas gracias!
